Сумма.баллов,Оценка.1,Оценка.2,Оценка.3,Оценка.4,ГТО.оценка,Сочинение.оценка,Аттестат.с.отличием.оценка,Оригинал.,Общежитие,Дата.заявления,Тип.насел..пункта,Участие.в.олимпиадах,Дата.выдачи.док..об.образов,Школа,Сумма.положительных.оценок,,,
384,100,94,100,88,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,20.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,24.06.2016,ЛИЦ 1580 МОСКВ,382,,,
343,75,100,80,88,0,0,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,21.06.2018,ГОРОД,Не является  победителем олимпиады,27.06.2017,СОШ 45 РЯЗАН,343,,,
354,60,92,96,100,0,1,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,22.06.2018,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Не является  победителем олимпиады,30.06.2017,ОВСЯНКОВСК СОШ ЗЕЙСК Р Н АМУРСК ОБЛ,348,,,
375,100,92,100,82,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,22.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,374,,,
165,NA,88,NA,76,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Победитель олимпиады из Перечня,22.06.2018,СУНЦ МГ,164,,,
267,NA,96,84,87,0,0,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД,Победитель олимпиады из Перечня,22.06.2018,СУНЦ МГ,267,,,
357,100,92,78,85,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,355,,,
360,100,78,100,82,0,0,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,360,,,
174,NA,86,NA,87,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,22.06.2018,СУНЦ МГ,173,,,
370,100,100,82,87,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,369,,,
198,NA,94,NA,96,0,3,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД,Победитель олимпиады из Перечня,22.06.2018,СУНЦ МГ,190,,,
